"","team_name","week","season","game_id","pass_grade","opponent","qbgrp_ssn","rank","num_games","half_mark","performance"
"286","ATL",7,2021,19705,89.5,"MIA","ATLRyan-2021",2,17,9,"Good"
"287","ATL",16,2021,19835,84.9,"DET","ATLRyan-2021",3,17,9,"Good"
"288","ATL",9,2021,19737,78.8,"NO","ATLRyan-2021",4,17,9,"Good"
"289","ATL",5,2021,19686,78.0294871794872,"NYJ","ATLRyan-2021",5,17,9,"Good"
"290","ATL",18,2021,19864,70.2,"NO","ATLRyan-2021",6,17,9,"Good"
"291","ATL",2,2021,19635,65.7884615384615,"TB","ATLRyan-2021",7,17,9,"Good"
"292","ATL",15,2021,19828,63.9,"SF","ATLRyan-2021",8,17,9,"Good"
"293","ATL",8,2021,19716,63.5,"CAR","ATLRyan-2021",9,17,9,"Bad"
"294","ATL",14,2021,19802,61.6,"CAR","ATLRyan-2021",10,17,9,"Bad"
"295","ATL",13,2021,19788,60.8,"TB","ATLRyan-2021",11,17,9,"Bad"
